lower,upper,rmd
1,1,751e76e8199196d454941c45d1b3a323f1433bd6
2,3,7dd65592d0ab2fe0d0257d571abf032cd9db93dc
4,7,5dedfbf9ea599dd4e3ca6a80b333c472fd0b3f69
8,15,9652d86bedf43ad264362e6e6eba6eb764508127
16,31,8f9dff39a81ee4abcbad2ad8bafff090415a2be8
32,63,f93ec34e9e34a8f8ff7d600cdad83047b1bcb45c
64,127,e2192e8a7dd8dd1c88321959b477968b941aa973
128,255,dce76b2613052ea012204404a97b3c25eac31715
256,511,7d0f6c64afb419bbd7e971e943d7404b0e0daab4
512,1023,d7729816650e581d7462d52ad6f732da0e2ec93b
1024,2047,f8c698da3164ef8fa4258692d118cc9a902c5acc
2048,4095,85a1f9ba4da24c24e582d9b891dacbd1b043f971
4096,8191,f932d0188616c964416b91fb9cf76ba9790a921e
8192,16383,97f9281a1383879d72ac52a6a3e9e8b9a4a4f655
16384,32767,fe7c45126731f7384640b0b0045fd40bac72e2a2
32768,65535,7025b4efb3ff42eb4d6d71fab6b53b4f4967e3dd
65536,131071,b67cb6edeabc0c8b927c9ea327628e7aa63e2d52
131072,262143,ad1e852b08eba53df306ec9daa8c643426953f94
262144,524287,ebfbe6819fcdebab061732ce91df7d586a037dee
524288,1048575,b907c3a2a3b27789dfb509b730dd47703c272868
1048576,2097151,29a78213caa9eea824acf08022ab9dfc83414f56
2097152,4194303,7ff45303774ef7a52fffd8011981034b258cb86b
4194304,8388607,d0a79df189fe1ad5c306cc70497b358415da579e
8388608,16777215,0959e80121f36aea13b3bad361c15dac26189e2f
16777216,33554431,2f396b29b27324300d0c59b17c3abc1835bd3dbb
33554432,67108863,bfebb73562d4541b32a02ba664d140b5a574792f
67108864,134217727,0c7aaf6caa7e5424b63d317f0f8f1f9fa40d5560
134217728,268435455,1306b9e4ff56513a476841bac7ba48d69516b1da
268435456,536870911,5a416cc9148f4a377b672c8ae5d3287adaafadec
536870912,1073741823,d39c4704664e1deb76c9331e637564c257d68a08
1073741824,2147483647,d805f6f251f7479ebd853b3d0f4b9b2656d92f1d
2147483648,4294967295,9e42601eeaedc244e15f17375adb0e2cd08efdc9
4294967296,8589934591,4e15e5189752d1eaf444dfd6bff399feb0443977
8589934592,17179869183,f6d67d7983bf70450f295c9cb828daab265f1bfa
17179869184,34359738367,f6d8ce225ffbdecec170f8298c3fc28ae686df25
34359738368,68719476735,74b1e012be1521e5d8d75e745a26ced845ea3d37
68719476736,137438953471,28c30fb9118ed1da72e7c4f89c0164756e8a021d
137438953472,274877906943,b190e2d40cfdeee2cee072954a2be89e7ba39364
274877906944,549755813887,0b304f2a79a027270276533fe1ed4eff30910876
549755813888,1099511627775,95a156cd21b4a69de969eb6716864f4c8b82a82a
1099511627776,2199023255551,d1562eb37357f9e6fc41cb2359f4d3eda4032329
2199023255552,4398046511103,8efb85f9c5b5db2d55973a04128dc7510075ae23
4398046511104,8796093022207,f92044c7924e5525c61207972c253c9fc9f086f7
8796093022208,17592186044415,80df54e1f612f2fc5bdc05c9d21a83aa8d20791e
17592186044416,35184372088831,f0225bfc68a6e17e87cd8b5e60ae3be18f120753
35184372088832,70368744177663,9a012260d01c5113df66c8a8438c9f7a1e3d5dac
70368744177664,140737488355327,f828005d41b0f4fed4c8dca3b06011072cfb07d4
140737488355328,281474976710655,8661cb56d9df0a61f01328b55af7e56a3fe7a2b2
281474976710656,562949953421311,0d2f533966c6578e1111978ca698f8add7fffdf3
562949953421312,1125899906842623,de081b76f840e462fa2cdf360173dfaf4a976a47
1125899906842624,2251799813685247,ef6419cffd7fad7027994354eb8efae223c2dbe7
2251799813685248,4503599627370495,36af659edbe94453f6344e920d143f1778653ae7
4503599627370496,9007199254740991,2f4870ef54fa4b048c1365d42594cc7d3d269551
9007199254740992,18014398509481983,cb66763cf7fde659869ae7f06884d9a0f879a092
18014398509481984,36028797018963967,db53d9bbd1f3a83b094eeca7dd970bd85b492fa2
36028797018963968,72057594037927935,48214c5969ae9f43f75070cea1e2cb41d5bdcccd
72057594037927936,144115188075855871,328660ef43f66abe2653fa178452a5dfc594c2a1
144115188075855872,288230376151711743,8c2a6071f89c90c4dab5ab295d7729d1b54ea60f
288230376151711744,576460752303423487,b14ed3146f5b2c9bde1703deae9ef33af8110210
576460752303423488,1152921504606846975,cdf8e5c7503a9d22642e3ecfc87817672787b9c5
1152921504606846976,2305843009213693951,68133e19b2dfb9034edf9830a200cfdf38c90cbd
2305843009213693952,4611686018427387903,e26646db84b0602f32b34b5a62ca3cae1f91b779
4611686018427387904,9223372036854775807,ef58afb697b094423ce90721fbb19a359ef7c50e
9223372036854775808,18446744073709551615,3ee4133d991f52fdf6a25c9834e0745ac74248a4
18446744073709551616,36893488147419103231,52e763a7ddc1aa4fa811578c491c1bc7fd570137
36893488147419103232,73786976294838206463,20d45a6a762535700ce9e0b216e31994335db8a5
73786976294838206464,147573952589676412927,739437bb3dd6d1983e66629c5f08c70e52769371
147573952589676412928,295147905179352825855,e0b8a2baee1b77fc703455f39d51477451fc8cfc
295147905179352825856,590295810358705651711,61eb8a50c86b0584bb727dd65bed8d2400d6d5aa
590295810358705651712,1180591620717411303423,5db8cda53a6a002db10365967d7f85d19e171b10
1180591620717411303424,2361183241434822606847,f6f5431d25bbf7b12e8add9af5e3475c44a0a5b8
